start,end,pm10,pm10_unit,latitude,longitude
2022-11-01 07:00:00,2022-11-01 08:00:00,29.440000000000000000,ug.m-3,44.4264,26.1406
2022-11-01 08:00:00,2022-11-01 09:00:00,34.090000000000000000,ug.m-3,44.4264,26.1406
2022-11-01 09:00:00,2022-11-01 10:00:00,34.390000000000000000,ug.m-3,44.4264,26.1406
2022-11-01 10:00:00,2022-11-01 11:00:00,36.440000000000000000,ug.m-3,44.4264,26.1406
2022-11-01 11:00:00,2022-11-01 12:00:00,55.130000000000000000,ug.m-3,44.4264,26.1406
2022-11-01 12:00:00,2022-11-01 13:00:00,52.300000000000000000,ug.m-3,44.4264,26.1406
2022-11-01 13:00:00,2022-11-01 14:00:00,34.850000000000000000,ug.m-3,44.4264,26.1406
2022-11-01 15:00:00,2022-11-01 16:00:00,9.220000000000000000,ug.m-3,44.4264,26.1406
2022-11-01 16:00:00,2022-11-01 17:00:00,36.750000000000000000,ug.m-3,44.4264,26.1406
2022-11-01 17:00:00,2022-11-01 18:00:00,98.780000000000000000,ug.m-3,44.4264,26.1406
2022-11-01 18:00:00,2022-11-01 19:00:00,104.390000000000000000,ug.m-3,44.4264,26.1406
2022-11-01 19:00:00,2022-11-01 20:00:00,114.240000000000000000,ug.m-3,44.4264,26.1406
2022-11-01 20:00:00,2022-11-01 21:00:00,142.130000000000000000,ug.m-3,44.4264,26.1406
2022-11-01 21:00:00,2022-11-01 22:00:00,116.890000000000000000,ug.m-3,44.4264,26.1406
2022-11-01 22:00:00,2022-11-01 23:00:00,109.370000000000000000,ug.m-3,44.4264,26.1406
2022-11-01 23:00:00,2022-11-02 00:00:00,80.530000000000000000,ug.m-3,44.4264,26.1406
2022-11-02 00:00:00,2022-11-02 01:00:00,53.920000000000000000,ug.m-3,44.4264,26.1406
2022-11-02 01:00:00,2022-11-02 02:00:00,44.310000000000000000,ug.m-3,44.4264,26.1406
2022-11-02 02:00:00,2022-11-02 03:00:00,45.700000000000000000,ug.m-3,44.4264,26.1406
2022-11-02 03:00:00,2022-11-02 04:00:00,42.280000000000000000,ug.m-3,44.4264,26.1406
2022-11-02 04:00:00,2022-11-02 05:00:00,42.570000000000000000,ug.m-3,44.4264,26.1406
2022-11-02 05:00:00,2022-11-02 06:00:00,41.660000000000000000,ug.m-3,44.4264,26.1406
2022-11-02 06:00:00,2022-11-02 07:00:00,46.490000000000000000,ug.m-3,44.4264,26.1406
2022-11-02 07:00:00,2022-11-02 08:00:00,50.480000000000000000,ug.m-3,44.4264,26.1406
2022-11-02 08:00:00,2022-11-02 09:00:00,51.700000000000000000,ug.m-3,44.4264,26.1406
