start,end,no2,no2_unit,latitude,longitude
2017-09-30 05:00:00,2017-09-30 06:00:00,48.140000000000000000,ug.m-3,44.444925,26.127289
2017-09-30 06:00:00,2017-09-30 07:00:00,47.640000000000000000,ug.m-3,44.444925,26.127289
2017-09-30 07:00:00,2017-09-30 08:00:00,65.210000000000000000,ug.m-3,44.444925,26.127289
2017-09-30 09:00:00,2017-09-30 10:00:00,74.860000000000000000,ug.m-3,44.444925,26.127289
2017-09-30 10:00:00,2017-09-30 11:00:00,69.750000000000000000,ug.m-3,44.444925,26.127289
2017-09-30 11:00:00,2017-09-30 12:00:00,61.740000000000000000,ug.m-3,44.444925,26.127289
2017-09-30 12:00:00,2017-09-30 13:00:00,74.690000000000000000,ug.m-3,44.444925,26.127289
2017-09-30 13:00:00,2017-09-30 14:00:00,72.410000000000000000,ug.m-3,44.444925,26.127289
2017-09-30 14:00:00,2017-09-30 15:00:00,65.780000000000000000,ug.m-3,44.444925,26.127289
2017-09-30 15:00:00,2017-09-30 16:00:00,74.060000000000000000,ug.m-3,44.444925,26.127289
2017-09-30 16:00:00,2017-09-30 17:00:00,77.910000000000000000,ug.m-3,44.444925,26.127289
2017-09-30 17:00:00,2017-09-30 18:00:00,81.820000000000000000,ug.m-3,44.444925,26.127289
2017-09-30 18:00:00,2017-09-30 19:00:00,95.370000000000000000,ug.m-3,44.444925,26.127289
2017-09-30 19:00:00,2017-09-30 20:00:00,99.740000000000000000,ug.m-3,44.444925,26.127289
2017-09-30 20:00:00,2017-09-30 21:00:00,107.890000000000000000,ug.m-3,44.444925,26.127289
2017-09-30 21:00:00,2017-09-30 22:00:00,81.770000000000000000,ug.m-3,44.444925,26.127289
2017-09-30 22:00:00,2017-09-30 23:00:00,81.760000000000000000,ug.m-3,44.444925,26.127289
2017-09-30 23:00:00,2017-10-01 00:00:00,69.840000000000000000,ug.m-3,44.444925,26.127289
2017-10-01 00:00:00,2017-10-01 01:00:00,56.520000000000000000,ug.m-3,44.444925,26.127289
2017-10-01 01:00:00,2017-10-01 02:00:00,59.060000000000000000,ug.m-3,44.444925,26.127289
2017-10-01 02:00:00,2017-10-01 03:00:00,50.620000000000000000,ug.m-3,44.444925,26.127289
2017-10-01 03:00:00,2017-10-01 04:00:00,45.130000000000000000,ug.m-3,44.444925,26.127289
2017-10-01 04:00:00,2017-10-01 05:00:00,47.640000000000000000,ug.m-3,44.444925,26.127289
2017-10-01 05:00:00,2017-10-01 06:00:00,34.310000000000000000,ug.m-3,44.444925,26.127289
2017-10-01 06:00:00,2017-10-01 07:00:00,51.510000000000000000,ug.m-3,44.444925,26.127289
2017-10-01 08:00:00,2017-10-01 09:00:00,50.620000000000000000,ug.m-3,44.444925,26.127289
2017-10-01 09:00:00,2017-10-01 10:00:00,49.010000000000000000,ug.m-3,44.444925,26.127289
2017-10-01 10:00:00,2017-10-01 11:00:00,49.990000000000000000,ug.m-3,44.444925,26.127289
2017-10-01 11:00:00,2017-10-01 12:00:00,55.680000000000000000,ug.m-3,44.444925,26.127289
2017-10-01 12:00:00,2017-10-01 13:00:00,51.950000000000000000,ug.m-3,44.444925,26.127289
2017-10-01 13:00:00,2017-10-01 14:00:00,48.120000000000000000,ug.m-3,44.444925,26.127289
2017-10-01 14:00:00,2017-10-01 15:00:00,64.410000000000000000,ug.m-3,44.444925,26.127289
2017-10-01 15:00:00,2017-10-01 16:00:00,59.970000000000000000,ug.m-3,44.444925,26.127289
2017-10-01 16:00:00,2017-10-01 17:00:00,61.470000000000000000,ug.m-3,44.444925,26.127289
2017-10-01 17:00:00,2017-10-01 18:00:00,71.700000000000000000,ug.m-3,44.444925,26.127289
2017-10-01 18:00:00,2017-10-01 19:00:00,83.560000000000000000,ug.m-3,44.444925,26.127289
2017-10-01 19:00:00,2017-10-01 20:00:00,96.910000000000000000,ug.m-3,44.444925,26.127289
2017-10-01 20:00:00,2017-10-01 21:00:00,88.960000000000000000,ug.m-3,44.444925,26.127289
2017-10-01 21:00:00,2017-10-01 22:00:00,79.470000000000000000,ug.m-3,44.444925,26.127289
