start,end,no2,no2_unit,latitude,longitude
2020-07-30 22:00:00,2020-07-30 23:00:00,109.870000000000000000,ug.m-3,44.4264,26.1406
2020-07-31 00:00:00,2020-07-31 01:00:00,52.880000000000000000,ug.m-3,44.4264,26.1406
2020-07-31 01:00:00,2020-07-31 02:00:00,29.730000000000000000,ug.m-3,44.4264,26.1406
2020-07-31 02:00:00,2020-07-31 03:00:00,25.330000000000000000,ug.m-3,44.4264,26.1406
2020-07-31 03:00:00,2020-07-31 04:00:00,21.840000000000000000,ug.m-3,44.4264,26.1406
2020-07-31 04:00:00,2020-07-31 05:00:00,21.920000000000000000,ug.m-3,44.4264,26.1406
2020-07-31 05:00:00,2020-07-31 06:00:00,34.990000000000000000,ug.m-3,44.4264,26.1406
2020-07-31 06:00:00,2020-07-31 07:00:00,28.710000000000000000,ug.m-3,44.4264,26.1406
2020-07-31 07:00:00,2020-07-31 08:00:00,26.910000000000000000,ug.m-3,44.4264,26.1406
2020-07-31 08:00:00,2020-07-31 09:00:00,24.080000000000000000,ug.m-3,44.4264,26.1406
2020-07-31 09:00:00,2020-07-31 10:00:00,22.020000000000000000,ug.m-3,44.4264,26.1406
2020-07-31 10:00:00,2020-07-31 11:00:00,18.550000000000000000,ug.m-3,44.4264,26.1406
2020-07-31 11:00:00,2020-07-31 12:00:00,12.970000000000000000,ug.m-3,44.4264,26.1406
2020-07-31 12:00:00,2020-07-31 13:00:00,11.810000000000000000,ug.m-3,44.4264,26.1406
2020-07-31 13:00:00,2020-07-31 14:00:00,8.750000000000000000,ug.m-3,44.4264,26.1406
2020-07-31 14:00:00,2020-07-31 15:00:00,9.790000000000000000,ug.m-3,44.4264,26.1406
2020-07-31 15:00:00,2020-07-31 16:00:00,7.470000000000000000,ug.m-3,44.4264,26.1406
2020-07-31 16:00:00,2020-07-31 17:00:00,6.690000000000000000,ug.m-3,44.4264,26.1406
2020-07-31 17:00:00,2020-07-31 18:00:00,6.290000000000000000,ug.m-3,44.4264,26.1406
2020-07-31 18:00:00,2020-07-31 19:00:00,11.470000000000000000,ug.m-3,44.4264,26.1406
2020-07-31 19:00:00,2020-07-31 20:00:00,20.510000000000000000,ug.m-3,44.4264,26.1406
2020-07-31 20:00:00,2020-07-31 21:00:00,17.180000000000000000,ug.m-3,44.4264,26.1406
2020-07-31 21:00:00,2020-07-31 22:00:00,15.280000000000000000,ug.m-3,44.4264,26.1406
2020-07-31 22:00:00,2020-07-31 23:00:00,12.600000000000000000,ug.m-3,44.4264,26.1406
2020-07-31 23:00:00,2020-08-01 00:00:00,10.260000000000000000,ug.m-3,44.4264,26.1406
2020-08-01 01:00:00,2020-08-01 02:00:00,9.040000000000000000,ug.m-3,44.4264,26.1406
2020-08-01 02:00:00,2020-08-01 03:00:00,8.730000000000000000,ug.m-3,44.4264,26.1406
2020-08-01 03:00:00,2020-08-01 04:00:00,9.560000000000000000,ug.m-3,44.4264,26.1406
2020-08-01 04:00:00,2020-08-01 05:00:00,11.490000000000000000,ug.m-3,44.4264,26.1406
2020-08-01 05:00:00,2020-08-01 06:00:00,17.150000000000000000,ug.m-3,44.4264,26.1406
2020-08-01 06:00:00,2020-08-01 07:00:00,19.640000000000000000,ug.m-3,44.4264,26.1406
2020-08-01 07:00:00,2020-08-01 08:00:00,23.160000000000000000,ug.m-3,44.4264,26.1406
2020-08-01 08:00:00,2020-08-01 09:00:00,14.570000000000000000,ug.m-3,44.4264,26.1406
2020-08-01 09:00:00,2020-08-01 10:00:00,16.340000000000000000,ug.m-3,44.4264,26.1406
2020-08-01 10:00:00,2020-08-01 11:00:00,14.350000000000000000,ug.m-3,44.4264,26.1406
2020-08-01 11:00:00,2020-08-01 12:00:00,12.500000000000000000,ug.m-3,44.4264,26.1406
2020-08-01 12:00:00,2020-08-01 13:00:00,9.790000000000000000,ug.m-3,44.4264,26.1406
2020-08-01 13:00:00,2020-08-01 14:00:00,9.260000000000000000,ug.m-3,44.4264,26.1406
2020-08-01 14:00:00,2020-08-01 15:00:00,7.730000000000000000,ug.m-3,44.4264,26.1406
2020-08-01 15:00:00,2020-08-01 16:00:00,6.920000000000000000,ug.m-3,44.4264,26.1406
2020-08-01 16:00:00,2020-08-01 17:00:00,6.650000000000000000,ug.m-3,44.4264,26.1406
2020-08-01 17:00:00,2020-08-01 18:00:00,6.230000000000000000,ug.m-3,44.4264,26.1406
2020-08-01 18:00:00,2020-08-01 19:00:00,6.310000000000000000,ug.m-3,44.4264,26.1406
2020-08-01 19:00:00,2020-08-01 20:00:00,12.380000000000000000,ug.m-3,44.4264,26.1406
2020-08-01 20:00:00,2020-08-01 21:00:00,58.520000000000000000,ug.m-3,44.4264,26.1406
2020-08-01 21:00:00,2020-08-01 22:00:00,79.970000000000000000,ug.m-3,44.4264,26.1406
